When did it happen,Year,City or County,State,State Abbrv,Address,Total Fatalities,Total Injured,Comment,Venue,Related to School?
11-Feb-13,2013,Wilmington,Delaware,DE,"Wilmington, Delaware",3,2,The shooter was Thomas Matusiewicz,N/A,N/A
12-Feb-13,2013,Midvale,Utah,UT,"Midvale, Utah",3,1,The shooter was David Fresques;Davis Fotu,N/A,N/A
16-Feb-13,2013,Winston-Salem,North Carolina,NC,"Winston-Salem, North Carolina",1,3,The shooter was not identified,N/A,N/A
19-Feb-13,2013,Ladera Ranch,California,CA,"Ladera Ranch, California",4,3,"A 20-year old unemployed, part-time student killed a 20-year old woman at his parent's house. The shooter's parents called 911 when they heard the noise. He drove off in his parents car and went on a killing spree carjacking several cars and shooting at commuters, drivers, and construction workers. He committed suicide when police were approaching. The shooter had left a suicide note that he wrote within an hour of the 911 call his parents made.",Street/Highway,No
19-Feb-13,2013,Orange (county),California,CA,Katella Avenue,4,3,N/A,N/A,N/A
19-Feb-13,2013,Tustin,California,CA,"Tustin, California",4,3,The shooter was Ali Sayed,N/A,N/A
21-Feb-13,2013,Miami,Florida,FL,"Miami, Florida",2,2,The shooter was Carlos Zuniga,N/A,N/A
21-Feb-13,2013,Tulsa,Oklahoma,OK,"Tulsa, Oklahoma",1,3,The shooter was Mark Hopkins,N/A,N/A
22-Feb-13,2013,Grand Rapids,Michigan,MI,"Grand Rapids, Michigan",0,4,The shooter was not identified,N/A,N/A
23-Feb-13,2013,Lancaster,California,CA,"Lancaster, California",0,4,The shooter was not identified,N/A,N/A
24-Feb-13,2013,Macon,Georgia,GA,"Macon, Georgia",0,8,The shooter was not identified,N/A,N/A
2-Mar-13,2013,Shreveport,Louisiana,LA,"Shreveport, Louisiana",1,3,The shooter was Ravion Alford;unknown,N/A,N/A
3-Mar-13,2013,Houston,Texas,TX,"Houston, Texas",0,6,The shooter was not identified,N/A,N/A
3-Mar-13,2013,Moultrie,Georgia,GA,"Moultrie, Georgia",2,2,The shooter was Derek Lamar Rushing,N/A,N/A
3-Mar-13,2013,Saginaw (county),Michigan,MI,4030 Dixie Hwy,0,4,N/A,N/A,N/A
4-Mar-13,2013,Buena Vista Township,Michigan,MI,"Buena Vista Township, Michigan",0,4,The shooter was not identified,N/A,N/A
4-Mar-13,2013,Los Banos,California,CA,"Los Banos, California",1,3,The shooter was not identified,N/A,N/A
5-Mar-13,2013,Fuquay-Varina,North Carolina,NC,"Fuquay-Varina, North Carolina",0,4,The shooter was not identified,N/A,N/A
5-Mar-13,2013,Indianapolis,Indiana,IN,"Indianapolis, Indiana",1,3,The shooter was not identified,N/A,N/A
7-Mar-13,2013,Jackson,Mississippi,MS,"Jackson, Mississippi",2,2,The shooter was Joshua Hurst,N/A,N/A
8-Mar-13,2013,Buffalo,New York,NY,"Buffalo, New York",1,3,The shooter was not identified,N/A,N/A
10-Mar-13,2013,Kansas City,Missouri,MO,"Kansas City, Missouri",0,5,The shooter was not identified,N/A,N/A
11-Mar-13,2013,North Liberty,Iowa,IA,"North Liberty, Iowa",1,3,The shooter was Taleb Hussein Yousef Salameh,N/A,N/A
11-Mar-13,2013,Washington,District of Columbia,DC,"Washington, District of Columbia",0,13,The shooter was Andrew Davon Allen;Craig Willson,N/A,N/A
13-Mar-13,2013,Herkimer,New York,NY,"Herkimer, New York",5,2,The shooter was Kurt Myers,N/A,N/A
13-Mar-13,2013,Herkimer County,New York,NY,"Herkimer County, New York",5,2,"Spree killing in Herkimer County (NY), 2013. Kurt Myers, 64, shot six people in neighboring towns, killing two in a barbershop and two at a car care business, before being killed by officers in a shootout after a nearly 19-hour standoff. 5 people died.",N/A,No
13-Mar-13,2013,Mohawk,New York,NY,"Mohawk, New York",5,2,"An unemployed 64-year old man set his apartment on fire in Mohawk village, New York, before he went into a local barbershop and shot four people, killing two and wounding two others. Afterwards, the shooter drove to Herkimer village, where he shot and killed to other people at a local car servicing business. After the rampage, he holed up in an abandoned building where he had a standoff with police for 18 hours until he was shot and killed.",Retail/Wholesale/Services facility,No
13-Mar-13,2013,Oceanside,California,CA,"Oceanside, California",2,2,The shooter was not identified,N/A,N/A
14-Mar-13,2013,Mesquite,Texas,TX,"Mesquite, Texas",4,0,The shooter was Angelica Vazquez,N/A,N/A
14-Mar-13,2013,Modesto,California,CA,"Modesto, California",0,4,The shooter was not identified,N/A,N/A
16-Mar-13,2013,Galt,California,CA,"Galt, California",0,7,The shooter was not identified,N/A,N/A
17-Mar-13,2013,Belle Glade,Florida,FL,"Belle Glade, Florida",0,5,The shooter was not identified,N/A,N/A
17-Mar-13,2013,Stockton,California,CA,"Stockton, California",2,4,The shooter was not identified,N/A,N/A
20-Mar-13,2013,Jefferson County,Alabama,AL,"Jefferson County, Alabama",3,1,The shooter was Brandon Menefee,N/A,N/A
21-Mar-13,2013,Chicago,Illinois,IL,"Chicago, Illinois",0,7,The shooter was not identified,N/A,N/A
21-Mar-13,2013,Kansas City,Missouri,MO,"Kansas City, Missouri",1,4,The shooter was not identified,N/A,N/A
22-Mar-13,2013,Brooklyn,New York,NY,2703 W. 33rd Street,1,3,N/A,N/A,N/A
22-Mar-13,2013,New York,New York,NY,"New York, New York",1,3,The shooter was Joseph Brown,N/A,N/A
26-Mar-13,2013,St. Petersberg,Florida,FL,"St. Petersberg, Florida",0,4,The shooter was not identified,N/A,N/A
30-Mar-13,2013,Merced (county),California,CA,9200 block of Westside Boulevard,3,2,N/A,N/A,N/A
31-Mar-13,2013,Auburn,Washington,WA,"Auburn, Washington",3,1,The shooter was not identified,N/A,N/A
31-Mar-13,2013,Merced County,California,CA,"Merced County, California",2,3,The shooter was not identified,N/A,N/A
2-Apr-13,2013,San Juan,Puerto Rico,PR,"San Juan, Puerto Rico",4,1,The shooter was not identified,N/A,N/A
6-Apr-13,2013,Greenwood,South Carolina,SC,"Greenwood, South Carolina",1,4,The shooter was Dayterrius White,N/A,N/A
7-Apr-13,2013,Long Beach,California,CA,"Long Beach, California",1,3,The shooter was not identified,N/A,N/A
7-Apr-13,2013,Manhattan,Kansas,KS,"Manhattan, Kansas",1,3,The shooter was Matthew Wilson,N/A,N/A
7-Apr-13,2013,New York (Manhattan),New York,NY,900 Garden Way,1,3,N/A,N/A,N/A
9-Apr-13,2013,Philadelphia,Pennsylvania,PA,"Philadelphia, Pennsylvania",1,3,The shooter was not identified,N/A,N/A
10-Apr-13,2013,Vallejo,California,CA,"Vallejo, California",0,4,The shooter was not identified,N/A,N/A
13-Apr-13,2013,Norfolk,Virginia,VA,"Norfolk, Virginia",0,5,The shooter was Trenton Ore;Joven Covington,N/A,N/A
14-Apr-13,2013,Lexington,Kentucky,KY,"Lexington, Kentucky",1,4,The shooter was not identified,N/A,N/A
14-Apr-13,2013,Phoenix,Arizona,AZ,"Phoenix, Arizona",2,4,The shooter was not identified,N/A,N/A
18-Apr-13,2013,Akron,Ohio,OH,"Akron, Ohio",4,0,The shooter was not identified,N/A,N/A
18-Apr-13,2013,Boston,Massachusetts,MA,"Boston, Massachusetts",2,2,The shooter was Tamerlan Tsarnaev;Police,N/A,N/A
20-Apr-13,2013,Richmond,Virginia,VA,"Richmond, Virginia",2,2,The shooter was Clarence Taylor,N/A,N/A
21-Apr-13,2013,Federal Way,Washington,WA,"Federal Way, Washington",5,0,"Mass shooting in Federal Way (WA), 2013. Dennis Clark III, 27, shot and killed his girlfriend in their shared apartment, and then shot two witnesses in the building's parking lot and a third victim in another apartment, before being killed by police. 5 people died.",N/A,No
22-Apr-13,2013,Chicago (Englewood),Illinois,IL,5700 block of South Lowe Avenue,0,4,N/A,N/A,N/A
22-Apr-13,2013,Englewood,Illinois,IL,"Englewood, Illinois",0,4,The shooter was not identified,N/A,N/A
22-Apr-13,2013,Federal Way,Washington,WA,"Federal Way, Washington",5,2,The shooter was Dennis Clark III,N/A,N/A
22-Apr-13,2013,Harvey,Louisiana,LA,2300 block of Lapalco Boulevard,0,5,N/A,N/A,N/A
22-Apr-13,2013,Havey,Louisiana,LA,"Havey, Louisiana",0,5,"The shooter was Davante Robertson;Charlie A. Gumms;Frankie Hookman, Jr.;Lashawn Davis",N/A,N/A
24-Apr-13,2013,Manchester,Illinois,IL,"Manchester, Illinois",7,1,"A 43-year old man traveled to the home of his former partner's family in Manchester, Illinois. He shot and killed three adults (one of them pregnant), a boy, and an infant, all members of the same family. There was a third child who, after shooting her, the shooter took to a neighbor's house; she survived the incident. The shooter was then chased by the police by car. The car chase resulted in a shootout between the two. The shooter was shot and killed by the police.",Residential home/Neighborhood,No
25-Apr-13,2013,Oberlin,Ohio,OH,"Oberlin, Ohio",0,4,The shooter was Sean M. Woodings,N/A,N/A
27-Apr-13,2013,Williston,Florida,FL,"Williston, Florida",1,4,The shooter was Devonte Tremaine Ocasi,N/A,N/A
28-Apr-13,2013,Charlotte,North Carolina,NC,"Charlotte, North Carolina",0,5,The shooter was not identified,N/A,N/A
28-Apr-13,2013,Chester,Pennsylvania,PA,"Chester, Pennsylvania",1,3,The shooter was not identified,N/A,N/A
28-Apr-13,2013,Jackson,Tennessee,TN,"Jackson, Tennessee",2,2,The shooter was not identified,N/A,N/A
28-Apr-13,2013,Lauderdale Lakes,Florida,FL,"Lauderdale Lakes, Florida",0,4,The shooter was Neville Lynch;Mark Rose,N/A,N/A
28-Apr-13,2013,Ottawa,Kansas,KS,"Ottawa, Kansas",4,0,The shooter was Kyle T. Flack,N/A,N/A
2-May-13,2013,Newark,New Jersey,NJ,"Newark, New Jersey",0,5,The shooter was not identified,N/A,N/A
4-May-13,2013,Aguas Buenas,Puerto Rico,PR,"Aguas Buenas, Puerto Rico",4,6,The shooter was not identified,N/A,N/A
4-May-13,2013,Smithfield,North Carolina,NC,"Smithfield, North Carolina",0,4,The shooter was Krystal Olymica David,N/A,N/A
5-May-13,2013,East Palo Alto,California,CA,"East Palo Alto, California",0,6,The shooter was not identified,N/A,N/A
5-May-13,2013,Oakland,California,CA,"Oakland, California",1,3,The shooter was not identified,N/A,N/A
5-May-13,2013,Palo Alto,California,CA,Bay Road and University Avenue,0,5,N/A,N/A,N/A
6-May-13,2013,Johnstown,Pennsylvania,PA,"Johnstown, Pennsylvania",0,4,The shooter was not identified,N/A,N/A
8-May-13,2013,Hendersonville,North Carolina,NC,"Hendersonville, North Carolina",4,0,The shooter was Ralph Robert Warren III,N/A,N/A
10-May-13,2013,Los Angeles,California,CA,"Los Angeles, California",3,1,The shooter was not identified,N/A,N/A
11-May-13,2013,East Germantown,Pennsylvania,PA,"East Germantown, Pennsylvania",0,4,The shooter was not identified,N/A,N/A
11-May-13,2013,Jersey City,New Jersey,NJ,"Jersey City, New Jersey",0,4,The shooter was not identified,N/A,N/A
11-May-13,2013,Philadelphia,Pennsylvania,PA,21st Street and Medary Avenue,0,4,N/A,N/A,N/A
11-May-13,2013,Waynesville,Indiana,IN,"Waynesville, Indiana",4,0,The shooter was Samuel E. Sallee,N/A,N/A
12-May-13,2013,Apache Junction,Arizona,AZ,"Apache Junction, Arizona",0,4,The shooter was not identified,N/A,N/A
12-May-13,2013,New Orleans,Louisiana,LA,"New Orleans, Louisiana",0,19,The shooter was not identified,N/A,N/A
12-May-13,2013,Newark,New Jersey,NJ,"Newark, New Jersey",0,5,The shooter was not identified,N/A,N/A
13-May-13,2013,Cincinnati,Ohio,OH,Kings Run Road,0,4,N/A,N/A,N/A
13-May-13,2013,Winton Hills,Ohio,OH,"Winton Hills, Ohio",0,4,The shooter was not identified,N/A,N/A
15-May-13,2013,Detroit,Michigan,MI,"Detroit, Michigan",1,4,The shooter was Unidentified,N/A,N/A
15-May-13,2013,Fernley,Nevada,NV,"Fernley, Nevada",5,0,The shooter was Jeremiah Bean,N/A,N/A
16-May-13,2013,Philadelphia,Pennsylvania,PA,2600 block of Daggett Street,0,4,N/A,N/A,N/A
16-May-13,2013,Philladelphia,Pennsylvania,PA,"Philladelphia, Pennsylvania",0,4,The shooter was not identified,N/A,N/A
18-May-13,2013,Las Piedras,Puerto Rico,PR,"Las Piedras, Puerto Rico",3,3,The shooter was not identified,N/A,N/A
18-May-13,2013,Lunenburg County (county),Virginia,VA,2073 Pleasant Oak Road,0,4,N/A,N/A,N/A
19-May-13,2013,Detroit,Michigan,MI,"Detroit, Michigan",0,4,The shooter was not identified,N/A,N/A
19-May-13,2013,Lunenburg,Virginia,VA,"Lunenburg, Virginia",0,4,The shooter was Codarrell Lee Yates,N/A,N/A
19-May-13,2013,Memphis,Tennessee,TN,"Memphis, Tennessee",2,2,The shooter was not identified,N/A,N/A
20-May-13,2013,Chicago,Illinois,IL,"Chicago, Illinois",0,4,The shooter was not identified,N/A,N/A
21-May-13,2013,Herndon,Virginia,VA,"Herndon, Virginia",4,0,The shooter was Albert Peterson,N/A,N/A
23-May-13,2013,Bean Station,Tennessee,TN,1034 Main Street,2,2,N/A,N/A,N/A
23-May-13,2013,Knoxville,Tennessee,TN,"Knoxville, Tennessee",2,2,The shooter was Jason Brian Holt,N/A,N/A
23-May-13,2013,Saginaw,Michigan,MI,"Saginaw, Michigan",1,3,The shooter was Evellis T. McGee;Karon D. Thomas,N/A,N/A
24-May-13,2013,Bakersfield,California,CA,"Bakersfield, California",2,2,The shooter was Julio Jesus Romero,N/A,N/A
25-May-13,2013,Flint,Michigan,MI,"Flint, Michigan",1,3,The shooter was Antonio King Green,N/A,N/A
25-May-13,2013,Hampton,Virginia,VA,"Hampton, Virginia",1,4,The shooter was Ryan Taybron;Eric Nixon,N/A,N/A
26-May-13,2013,Eden,Texas,TX,"Eden, Texas",2,5,The shooter was Esteban J. Smith,N/A,N/A
28-May-13,2013,Memphis,Tennessee,TN,"Memphis, Tennessee",1,3,The shooter was not identified,N/A,N/A
28-May-13,2013,Sells,Arizona,AZ,"Sells, Arizona",5,0,The shooter was not identified,N/A,N/A
29-May-13,2013,Chicago,Illinois,IL,"Chicago, Illinois",0,4,The shooter was not identified,N/A,N/A
31-May-13,2013,Atlanta,Georgia,GA,"Atlanta, Georgia",0,4,The shooter was not identified,N/A,N/A
1-Jun-13,2013,Milwaukee,Wisconsin,WI,"Milwaukee, Wisconsin",0,4,The shooter was not identified,N/A,N/A
1-Jun-13,2013,Vallejo,California,CA,"Vallejo, California",2,2,The shooter was not identified,N/A,N/A
2-Jun-13,2013,Indianapolis,Indiana,IN,"Indianapolis, Indiana",0,4,The shooter was not identified,N/A,N/A
2-Jun-13,2013,LaGrange,Georgia,GA,"LaGrange, Georgia",0,7,The shooter was Xavier Edmondson;Lewis Antonio,N/A,N/A
2-Jun-13,2013,Roanoke,Virginia,VA,"Roanoke, Virginia",0,5,The shooter was not identified,N/A,N/A
2-Jun-13,2013,Virginia Beach,Virginia,VA,"Virginia Beach, Virginia",0,4,The shooter was not identified,N/A,N/A
3-Jun-13,2013,Las Vegas,Nevada,NV,"Las Vegas, Nevada",2,2,The shooter was Manuel Mata III,N/A,N/A
4-Jun-13,2013,Shoreview,Minnesota,MN,"Shoreview, Minnesota",2,2,The shooter was Johnny Simpson,N/A,N/A
5-Jun-13,2013,Elburn,Illinois,IL,"Elburn, Illinois",0,10,The shooter was Unidentified,N/A,N/A
7-Jun-13,2013,Santa Monica,California,CA,"2036 Yorkshire Avenue, Santa Monica, California",6,3,"Spree killing in Santa Monica (CA), 2013. John Zawahri, 23, armed with a homemade assault rifle and high-capacity magazines, killed his brother and father at home and then headed to Santa Monica College, where he was eventually killed by police. 6 people died.",N/A,No
9-Jun-13,2013,York,Pennsylvania,PA,600 block of West Princess Street,0,4,N/A,N/A,N/A
9-Jun-13,2013,York City,Pennsylvania,PA,"York City, Pennsylvania",0,4,The shooter was not identified,N/A,N/A
10-Jun-13,2013,Chicago,Illinois,IL,"Chicago, Illinois",1,4,The shooter was not identified,N/A,N/A
10-Jun-13,2013,St Louis,Missouri,MO,4700 block of Highland Avenue,0,6,N/A,N/A,N/A
10-Jun-13,2013,St. Louis,Missouri,MO,"St. Louis, Missouri",0,6,The shooter was Davonta Coleman,N/A,N/A
11-Jun-13,2013,Darien,Illinois,IL,"Darien, Illinois",4,0,The shooter was David Andrus,N/A,N/A
12-Jun-13,2013,St. Louis,Missouri,MO,"St. Louis, Missouri",4,0,The shooter was Ahmed Dirir,N/A,N/A
14-Jun-13,2013,High Point,North Carolina,NC,"High Point, North Carolina",0,5,The shooter was Kenneth Malik Wise,N/A,N/A
15-Jun-13,2013,Houston,Texas,TX,"Houston, Texas",1,3,The shooter was not identified,N/A,N/A
15-Jun-13,2013,Nashville,Tennessee,TN,"Nashville, Tennessee",0,4,The shooter was Earnest Woodley,N/A,N/A
15-Jun-13,2013,Providence,Rhode Island,RI,256 Hartford Ave,1,3,N/A,N/A,N/A
16-Jun-13,2013,Chicago,Illinois,IL,"Chicago, Illinois",1,3,The shooter was not identified,N/A,N/A
18-Jun-13,2013,Berkeley,Missouri,MO,"Berkeley, Missouri",1,3,The shooter was not identified,N/A,N/A
19-Jun-13,2013,Louisville,Kentucky,KY,"Louisville, Kentucky",3,1,The shooter was Gary W. Stewart Jr.,N/A,N/A
21-Jun-13,2013,Chicago,Illinois,IL,"Chicago, Illinois",1,3,The shooter was not identified,N/A,N/A
21-Jun-13,2013,Greenville,North Carolina,NC,"Greenville, North Carolina",0,5,The shooter was Lakim Anthony Faust,N/A,N/A
21-Jun-13,2013,Norfolk,Virginia,VA,"Norfolk, Virginia",0,6,The shooter was Montreal Antonio Beasley;Curtis Leon Williams;Darren Lamont Roberts;Kyle Edward Thornton,N/A,N/A
22-Jun-13,2013,Baltimore,Maryland,MD,"Baltimore, Maryland",1,4,The shooter was not identified,N/A,N/A
22-Jun-13,2013,Paterson,New Jersey,NJ,"Paterson, New Jersey",1,4,The shooter was Kamal Edge,N/A,N/A
22-Jun-13,2013,Providence,Rhode Island,RI,"Providence, Rhode Island",0,4,The shooter was not identified,N/A,N/A
23-Jun-13,2013,Chattanooga,Tennessee,TN,"Chattanooga, Tennessee",1,3,The shooter was not identified,N/A,N/A
23-Jun-13,2013,Kansas City,Missouri,MO,"Kansas City, Missouri",1,8,The shooter was not identified,N/A,N/A
23-Jun-13,2013,New Orleans,Louisiana,LA,"New Orleans, Louisiana",0,4,The shooter was not identified,N/A,N/A
23-Jun-13,2013,Sacramento,California,CA,"Sacramento, California",1,3,The shooter was Elijah Rodgers,N/A,N/A
23-Jun-13,2013,Virginia Beach,Virginia,VA,"Virginia Beach, Virginia",1,4,The shooter was not identified,N/A,N/A
24-Jun-13,2013,Kansas City,Missouri,MO,"Kansas City, Missouri",1,3,The shooter was not identified,N/A,N/A
25-Jun-13,2013,Chicago,Illinois,IL,"Chicago, Illinois",1,4,The shooter was not identified,N/A,N/A
27-Jun-13,2013,Three Rivers,California,CA,"Three Rivers, California",2,2,The shooter was Manuel Talamantez;Christina Martinez,N/A,N/A
28-Jun-13,2013,Chicago,Illinois,IL,"Chicago, Illinois",0,6,The shooter was not identified,N/A,N/A
29-Jun-13,2013,North Charleston,South Carolina,SC,"North Charleston, South Carolina",3,1,The shooter was Ronald Reid;Barry Stinson,N/A,N/A
30-Jun-13,2013,Aurora,Colorado,CO,"Aurora, Colorado",0,4,The shooter was not identified,N/A,N/A
30-Jun-13,2013,Brooklyn,New York,NY,"Brooklyn, New York",0,8,The shooter was not identified,N/A,N/A
1-Jul-13,2013,Fort Worth,Texas,TX,"Fort Worth, Texas",4,0,The shooter was Amos Wells,N/A,N/A
3-Jul-13,2013,Calais,Maine,ME,"Calais, Maine",1,3,The shooter was not identified,N/A,N/A
4-Jul-13,2013,Chicago,Illinois,IL,"Chicago, Illinois",0,4,The shooter was not identified,N/A,N/A
4-Jul-13,2013,Pontiac,Michigan,MI,"Pontiac, Michigan",1,6,The shooter was Robert Marion Naylor,N/A,N/A
5-Jul-13,2013,Macon,Georgia,GA,"Macon, Georgia",1,3,The shooter was not identified,N/A,N/A
6-Jul-13,2013,Brooklyn,New York,NY,"Brooklyn, New York",1,3,The shooter was Brandon Reese,N/A,N/A
6-Jul-13,2013,Chicago,Illinois,IL,"Chicago, Illinois",1,7,The shooter was not identified,N/A,N/A
6-Jul-13,2013,Florence,Alabama,AL,"Florence, Alabama",0,4,The shooter was Chauncy Laray Mitchell,N/A,N/A
6-Jul-13,2013,Los Angeles,California,CA,"Los Angeles, California",1,3,The shooter was not identified,N/A,N/A
7-Jul-13,2013,Chicago,Illinois,IL,"Chicago, Illinois",0,5,The shooter was not identified,N/A,N/A
7-Jul-13,2013,Meridian,Mississippi,MS,"Meridian, Mississippi",0,4,The shooter was not identified,N/A,N/A
7-Jul-13,2013,Pompano Beach,Florida,FL,"Pompano Beach, Florida",1,3,The shooter was not identified,N/A,N/A
7-Jul-13,2013,Stockton,California,CA,"Stockton, California",1,4,The shooter was not identified,N/A,N/A
9-Jul-13,2013,Balimore,Maryland,MD,"Balimore, Maryland",0,4,The shooter was Lamont Jones,N/A,N/A
9-Jul-13,2013,Baltimore,Maryland,MD,600 block of N. Carrollton Ave,0,4,N/A,N/A,N/A
9-Jul-13,2013,Rockford,Illinois,IL,"Rockford, Illinois",2,2,The shooter was not identified,N/A,N/A
11-Jul-13,2013,Charlotte,North Carolina,NC,"Charlotte, North Carolina",2,2,The shooter was not identified,N/A,N/A
12-Jul-13,2013,Greensburg,Kentucky,KY,"Greensburg, Kentucky",2,2,The shooter was Barry Moore,N/A,N/A
12-Jul-13,2013,Hamilton Township,New Jersey,NJ,"Hamilton Township, New Jersey",1,4,The shooter was not identified,N/A,N/A
12-Jul-13,2013,San Francisco,California,CA,"San Francisco, California",1,3,The shooter was not identified,N/A,N/A
13-Jul-13,2013,Campbell,Ohio,OH,Seventh Street,0,4,N/A,N/A,N/A
13-Jul-13,2013,Oklahoma City,Oklahoma,OK,"Oklahoma City, Oklahoma",1,3,The shooter was not identified,N/A,N/A
13-Jul-13,2013,Trenton (Hamilton Township),New Jersey,NJ,1100 block of Deutz Road,1,4,N/A,N/A,N/A
13-Jul-13,2013,Washington,District of Columbia,DC,"Washington, District of Columbia",0,4,The shooter was not identified,N/A,N/A
14-Jul-13,2013,Grand Rapids (Kentwood),Michigan,MI,4000 block of Farmview,0,5,N/A,N/A,N/A
14-Jul-13,2013,Kentwood,Michigan,MI,"Kentwood, Michigan",0,5,The shooter was Billie McKinney,N/A,N/A
14-Jul-13,2013,Wichita,Kansas,KS,"Wichita, Kansas",1,4,The shooter was not identified,N/A,N/A
17-Jul-13,2013,Oakland,California,CA,"Oakland, California",3,1,The shooter was Darnell Williams;Joe Carroll,N/A,N/A
19-Jul-13,2013,Hartford,Connecticut,CT,"Hartford, Connecticut",0,4,The shooter was not identified,N/A,N/A
19-Jul-13,2013,Madera,California,CA,"Madera, California",0,4,The shooter was not identified,N/A,N/A
20-Jul-13,2013,Brooklyn,New York,NY,Grove Street,0,5,N/A,N/A,N/A
20-Jul-13,2013,Campbell,Ohio,OH,"Campbell, Ohio",0,5,The shooter was Devin Spann,N/A,N/A
21-Jul-13,2013,Brooklyn,New York,NY,"Brooklyn, New York",0,5,The shooter was not identified,N/A,N/A
21-Jul-13,2013,Fort Pierce,Florida,FL,"Fort Pierce, Florida",2,2,The shooter was not identified,N/A,N/A
24-Jul-13,2013,Topeka,Kansas,KS,"Topeka, Kansas",0,4,The shooter was not identified,N/A,N/A
25-Jul-13,2013,Inkster,Michigan,MI,"Inkster, Michigan",0,4,The shooter was not identified,N/A,N/A
26-Jul-13,2013,Clarksburg,West Virginia,WV,"Clarksburg, West Virginia",4,0,The shooter was Sidney A. Muller,N/A,N/A
26-Jul-13,2013,Hialea,Florida,FL,"Hialea, Florida",7,0,The shooter was Pedro Alberto Vargas,N/A,N/A
26-Jul-13,2013,Hialeah,Florida,FL,"Hialeah, Florida",7,0,"Mass shooting in Hialeah (FL), 2013. Pedro Vargas, 42, set fire to his apartment, killed six people in the complex, and held another two hostages at gunpoint before a SWAT team stormed the building and fatally shot him. 7 people died.",N/A,No
27-Jul-13,2013,Farmington,New Mexico,NM,"Farmington, New Mexico",1,3,The shooter was Levi Wilson;Lawrence Kellywood,N/A,N/A
28-Jul-13,2013,Dallas,Texas,TX,"Dallas, Texas",0,4,The shooter was not identified,N/A,N/A
28-Jul-13,2013,Granger,Washington,WA,"Granger, Washington",0,4,The shooter was not identified,N/A,N/A
29-Jul-13,2013,Granger,Washington,WA,300 block of S. Outlook Rd.,0,4,N/A,N/A,N/A
30-Jul-13,2013,Lea (county),New Mexico,NM,2000 block of North Bensing Road,0,4,N/A,N/A,N/A
30-Jul-13,2013,Lea County,New Mexico,NM,"Lea County, New Mexico",0,4,The shooter was Parrish Chee,N/A,N/A
2-Aug-13,2013,Broad Ripple,Indiana,IN,"Broad Ripple, Indiana",0,4,The shooter was Tristan Crayton,N/A,N/A
2-Aug-13,2013,Indianapolis,Indiana,IN,62nd and College Ave,0,4,N/A,N/A,N/A
2-Aug-13,2013,Newark,New Jersey,NJ,"Newark, New Jersey",2,3,The shooter was not identified,N/A,N/A
2-Aug-13,2013,Whitesburg,Kentucky,KY,"Whitesburg, Kentucky",4,0,The shooter was Timothy L. Shelby,N/A,N/A
3-Aug-13,2013,Detriot,Michigan,MI,"Detriot, Michigan",0,5,The shooter was not identified,N/A,N/A
3-Aug-13,2013,Detroit,Michigan,MI,Murray Hill St,0,5,N/A,N/A,N/A
4-Aug-13,2013,Kansas City,Missouri,Mo,"Kansas City, Missouri",1,3,The shooter was not identified,N/A,N/A
4-Aug-13,2013,Salinas,California,CA,"Salinas, California",3,4,The shooter was Giovanni Pacheco,N/A,N/A
5-Aug-13,2013,Montclair,New Jersey,NJ,"Montclair, New Jersey",0,4,The shooter was not identified,N/A,N/A
5-Aug-13,2013,Ross Township,Pennsylvania,PA,"Ross Township, Pennsylvania",3,4,The shooter was Rockne Warren Newell,N/A,N/A
5-Aug-13,2013,Salisbury,Pennsylvania,PA,"Salisbury , Pennsylvania",3,3,"An unemployed 59-year old man went to Ross Township's monthly meeting in Salisbury, Pennsylvania, killing three people and injuring four more. The shooter was later restrained and shot in the leg by civilians at the scene. He had been forced to vacate his property of 20 years and had been living out of his car and in abandoned buildings ever since.",Government facility,No
6-Aug-13,2013,Montclair,New Jersey,NJ,Mission Street,0,4,N/A,N/A,N/A
6-Aug-13,2013,Saylorsburg,Pennsylvania,PA,1000 Ross Municipal Dr,3,4,N/A,N/A,N/A
7-Aug-13,2013,Dallas,Texas,TX,"Dallas, Texas",4,4,"A 44-year old former special education teacher allegedly went on a murder spree in the Dallas area, killing four people, including his ex-wife and estranged girlfriend, and wounding four others. Once police arrived at the second home, the shooter after running out of ammunition, reportedly pretended he was one of the victims and appeared catatonic.",Residential home/Neighborhood,No
9-Aug-13,2013,Saint Louis,Missouri,MO,4200 block of East Kossuth,2,2,N/A,N/A,N/A
10-Aug-13,2013,Wilmington,Delaware,DE,1200 block of Second Street,0,4,N/A,N/A,N/A
11-Aug-13,2013,Brooklyn,New York,NY,395 East 48th Street,0,4,N/A,N/A,N/A
11-Aug-13,2013,East Flatbush,New York,NY,"East Flatbush, New York",1,3,The shooter was not identified,N/A,N/A
11-Aug-13,2013,Portsmouth,Virginia,VA,"Portsmouth, Virginia",1,4,The shooter was not identified,N/A,N/A
11-Aug-13,2013,St. Louis,Missouri,MO,"St. Louis, Missouri",2,2,The shooter was not identified,N/A,N/A
11-Aug-13,2013,Wilmington,Delaware,DE,"Wilmington, Delaware",0,4,The shooter was not identified,N/A,N/A
13-Aug-13,2013,Philadelphia,Pennsylvania,PA,1100 block of Divinity Street,0,4,N/A,N/A,N/A
